Dest_Field,Var_Source_Field,Var_Level,Var_Source_Value,Compare_Operator,Compare_Input,Var_Output,Term_Pt,Priority
out_objshape,in_object,1,,=,yield sign,triangle,Y,1
out_objshape,in_object,1,,=,light bulb,odd_shape,Y,
out_objshape,in_object,1,,=,soda can,cylinder,Y,
out_objshape,in_object,1,,=,stop sign,octagon,Y,
out_objshape,in_object,1,,ELSE,,NEED TO FIX,Y,
out_objcolor,in_object,1,,=,yield sign,yellow,Y,1
out_objcolor,in_object,1,,=,light bulb,white,Y,
out_objcolor,in_object,1,,=,soda can,various,Y,
out_objcolor,in_object,1,,=,stop sign,red,Y,
out_objcolor,in_object,1,,ELSE,,NEED TO FIX,Y,
out_foodcolorage,in_Date,1,,>=,1/1/2015,new,N,
out_foodcolorage,in_Date,1,,<,1/1/2015,old,N,
out_foodcolorage,in_Date,1,,ELSE,,NEED TO FIX,Y,
out_foodcolorage,in_food,2,new,=,tomato,new tomato,Y,
out_foodcolorage,in_food,2,new,=,banana,new banana,Y,
out_foodcolorage,in_food,2,new,=,pea,new pea,Y,
out_foodcolorage,in_food,2,new,=,onion,new onion,Y,
out_foodcolorage,in_food,2,old,=,tomato,old tomato,Y,
out_foodcolorage,in_food,2,old,=,banana,old banana,Y,
out_foodcolorage,in_food,2,old,=,pea,old pea,Y,
out_foodcolorage,in_food,2,old,=,onion,old onion,Y,
out_foodcolorage,in_food,2,,ELSE,,NEED TO FIX,Y,
out_ID,in_ID,1,Move As Is,Move As Is,Move As Is,Move As Is,Y,
out_placesize,in_place,1,,CONTAINS,school,school,N,
out_placesize,in_place,1,,ELSE,,other place,N,
out_placesize,in_Amt,2,school,>=,15,big learning,Y,
out_placesize,in_Amt,2,school,<,15,small learning,Y,
out_placesize,in_Amt,2,other place,>=,15,big place,Y,
out_placesize,in_Amt,2,other place,<,15,small place,Y,
out_placesize,in_Amt,2,,ELSE,,NEED TO FIX,Y,
